"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"PWY-5741",0.565442750255762,0.958204684248875,0.526228506957915,0.96625175309558
"PWY-5747",0.452681995239994,0.95117972223605,0.29094623497721,0.961119019952936
"PWY-5837",0.583036079347308,0.95117972223605,0.603676798029348,0.961119019952936
"PWY-5838",0.630460580199327,0.95117972223605,0.616366041779113,0.961119019952936
"PWY-5840",0.669160004829246,0.95117972223605,0.634577357047439,0.961119019952936
"PWY-5845",0.67748770125656,0.951284490211506,0.844591494816113,0.972210080279681
"PWY-5850",0.680453407244445,0.951285028718276,0.839349202738738,0.970836877900266
"PWY-5855",0.625147478612482,0.95117972223605,0.331027193838949,0.961119019952936
"PWY-5856",0.621608441083428,0.95117972223605,0.32811942546734,0.961119019952936
"PWY-5857",0.618323336734827,0.95117972223605,0.328069055464022,0.961119019952936
"PWY-5860",0.690928938373489,0.951640744927222,0.853803005361743,0.972651060965276
"PWY-5861",0.537703074871561,0.95117972223605,0.578991316828859,0.961119019952936
"PWY-5862",0.686486880752209,0.95154589316986,0.862758441989033,0.972844470969124
"PWY-5863",0.576543367871166,0.95117972223605,0.606070834241012,0.961119019952936
"PWY-5896",0.684835151174859,0.951336844596119,0.851181033952655,0.972177780164675
"PWY-5897",0.640844777756993,0.95117972223605,0.602316270561597,0.961119019952936
"PWY-5898",0.641552494770694,0.95117972223605,0.60323906759485,0.961119019952936
"PWY-5899",0.643782625623588,0.95117972223605,0.603998998011809,0.961119019952936
"PWY-5910",0.748719348345166,0.954059176920988,0.494804358071573,0.961119019952936
"PWY-5913",0.730649168765729,0.952290931889543,0.864961185894118,0.971512193805856
"PWY-5918",0.719856930798938,0.951766423911472,0.753682884786111,0.96369063825819
"PWY-5920",0.507679872068245,0.95117972223605,0.401176026535043,0.961119019952936
"PWY-5941",0.547323796099755,0.955942848346243,0.539494916798632,0.963572285516487
"PWY-5971",0.553088837713416,0.95117972223605,0.557694512435191,0.961119019952936
"PWY-5973",0.716236297331767,0.951811463949854,0.839966620817126,0.970844496665724
"PWY-5989",0.616318474457177,0.95117972223605,0.446531156476496,0.961119019952936
"PWY-6071",0.498462338809652,0.956991734319523,0.430926666286476,0.94951938753999
"PWY-6107",0.544681426375972,0.95501661169481,0.508673599928882,0.962495217083973
"PWY-6121",0.624538600583383,0.95117972223605,0.624299619580359,0.961119019952936
"PWY-6122",0.600104459491685,0.95117972223605,0.614571177421134,0.961119019952936
"PWY-6123",0.594844135512578,0.95117972223605,0.610877092912744,0.961119019952936
"PWY-6125",0.600199121623145,0.95117972223605,0.707355234265896,0.961119019952936
"PWY-6126",0.559919236764746,0.95117972223605,0.611219294417071,0.961119019952936
"PWY-6143",0.909662530054624,0.97974663298201,0.654730356656991,0.964521973500446
"PWY-6147",0.579398153449609,0.95117972223605,0.603863506275787,0.961119019952936
"PWY-6151",0.52073304080489,0.95117972223605,0.562087119774088,0.961119019952936
"PWY-6163",0.648106306561494,0.95117972223605,0.600532859749306,0.961119019952936
"PWY-6174",0.514166609967918,0.956518677946188,0.425407849201852,0.955490350647668
"PWY-6182",0.648995394740677,0.959063277934593,0.632925827873477,0.96610795660904
